Engine map for hit0.95 phase 0 duty=0 temp=37.3C Average f=1014.96
,1055,1060,960,1055,1050,1095,,100,1010,1060,1085,1020,1065
,1040,1095,1030,1100,715,1080,,875,1115,1050,1000,1080,1075
,1070,1065,1020,975,1095,1055,,1005,1055,1120,1000,965,1020
,1055,820,1015,1075,1100,1070,,1050,1070,990,870,1070,795
,1025,845,1060,1040,1045,1040,,1040,1025,1055,985,1055,1005
,1040,1045,955,1025,1060,1085,,1065,905,1040,1055,1075,960
,995,1005,845,1050,1020,1065,,960,1030,1000,1045,985,675
,1010,1030,1065,1025,1050,1050,,1010,1040,1075,1095,950,1015
,1010,1035,1040,1060,1060,1005,,1005,1040,1055,1060,1025,995
,1025,1050,985,855,1035,1020,,1055,1015,990,985,1005,1015
,1000,1025,1040,1050,1035,990,,1030,1020,1010,1035,1045,975
,930,1045,1035,700,1030,1010,,880,1035,1055,925,1055,945
,1005,1055,975,1065,1035,1025,,1055,1050,1055,1015,1025,945
,945,1015,1035,1020,1045,1060,,1050,1055,1065,1045,1050,1050
,1045,1010,1055,1030,1060,1045,,1025,1045,1050,965,970,1025
,1010,1040,1030,575,1085,1055,,1055,1020,1080,990,1040,1025
,950,1045,995,965,1050,1065,,1045,1075,565,1040,940,980
,1015,1020,1095,1040,1055,1065,,1045,1020,1035,1050,1065,1045
,1060,1085,1065,1030,1035,1010,,1045,1080,1060,1070,1045,905
,1070,945,1085,1025,1090,,,,1105,1025,1080,1090,980

