Engine map for hit0.95 phase 0 duty=0 temp=36.9C Average f=1016.49
,1055,1065,975,1055,1060,1105,,100,1030,1060,1085,1050,1055
,1035,1080,1040,1100,725,1075,,840,1105,1075,1030,1080,1015
,1070,1055,1030,960,1120,1065,,995,1060,1110,990,1000,1030
,1045,865,1025,1060,1090,1065,,995,1070,1015,860,1015,810
,1020,905,1070,1025,1030,1020,,1040,1015,1070,990,1040,1010
,1035,1040,1005,1035,1050,1075,,1075,905,1050,1055,1075,980
,995,1025,860,1050,1025,1045,,945,1050,990,1060,1000,685
,1015,1000,1065,1040,1050,1050,,1010,1065,1065,1055,970,1035
,1030,1030,1035,1075,1055,1030,,980,1055,1060,1055,1030,995
,1035,1050,1030,905,1005,1020,,1055,975,1035,975,1010,1000
,985,1050,985,1050,1045,1030,,1035,1015,1005,1000,1030,1020
,980,1050,1035,640,1025,1025,,905,1045,1035,945,1055,905
,980,1060,1000,1035,1050,1035,,1060,1040,1040,1010,1035,985
,985,1020,1005,1025,1045,1065,,1050,1055,1070,1075,1045,1050
,1045,1025,1070,1035,1065,1045,,1030,1045,1055,970,980,1030
,1005,1035,1030,530,1060,1060,,1040,1035,1065,1040,1040,1025
,955,1040,1070,1000,1050,1080,,1045,1070,535,1050,930,1020
,1025,1030,1090,1035,1055,1060,,1070,1040,995,1050,1055,1045
,1055,1010,1070,1025,1035,1025,,1050,1070,1060,1060,1030,905
,1050,900,1090,1025,1085,,,,1090,1050,1075,1085,1025

