Engine map for hit0.95 phase 0 duty=0 temp=37.3C Average f=1016.22
,1045,1055,955,1050,1050,1105,,100,1025,1055,1075,1040,1065
,1035,1090,1010,1090,765,1095,,865,1120,1085,1050,1085,1035
,1030,1065,1025,1050,1090,1070,,1050,1005,1110,1035,1055,1010
,1050,870,1040,1085,1105,1060,,1045,1085,1020,890,1070,780
,1045,815,1065,1030,1060,1035,,1040,1025,1070,970,1060,1025
,1025,1035,960,1040,1045,1070,,1095,865,1050,1060,1065,970
,990,960,890,1060,1015,1055,,970,1055,995,1045,1030,680
,1010,1020,1060,1050,1035,1030,,1030,1035,1090,1075,960,1025
,1010,1040,1030,1075,1050,1010,,990,1030,1055,1050,1035,995
,1045,1050,990,895,1025,1030,,1040,985,935,985,1020,1020
,1005,1045,1020,1045,1050,1010,,1040,1025,1000,1025,1035,1000
,985,1050,1035,640,1040,1020,,875,1050,1060,935,1060,965
,1020,1055,990,1045,1040,1010,,1020,1055,1055,1020,1030,995
,980,1025,1015,1015,1055,1060,,1040,1060,1075,1045,1055,1050
,1050,1040,1060,1030,1070,1020,,1030,1045,1045,960,955,1015
,1010,1050,1005,560,1085,1055,,1075,1045,1075,985,1040,1015
,950,1020,1045,990,1040,1075,,1070,1040,470,1050,920,995
,1035,1000,1090,1030,1040,1075,,1070,1030,1025,1055,1070,1050
,1040,1000,1075,1020,1030,1020,,1055,1035,1050,1060,1025,855
,1080,890,1085,1035,1095,,,,1100,1040,1085,1085,1005

