Data taken at Fri Jul 19 12:20:12 2024
Throughput(Mhz),100.000,125.000,150.000,175.000,200.000,225.000,250.000,275.000,300.000,325.000,350.000,375.000,400.000,425.000,450.000,475.000,500.000,525.000,550.000,575.000,600.000,625.000,650.000,675.000,700.000
Current0_250mv_75C,15.494,16.549,17.575,18.111,19.644,20.171,21.200,22.529,23.019,24.250,25.258,26.137,27.281,27.956,29.361,30.408,31.695,33.254,34.373,34.906,36.074,37.232,37.924,38.396,38.624
Bist0_250mv_75C,0.000,0.999,0.999,0.996,0.992,0.985,0.971,0.945,0.902,0.817,0.674,0.444,0.194,0.032,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Eff0_250mv_75C,99.990,34.797,30.810,27.288,25.999,23.912,22.944,22.770,22.340,23.974,28.136,41.212,92.165,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990
Current0_260mv_75C,17.186,17.705,18.602,19.118,20.135,21.671,22.697,23.314,24.239,24.890,26.325,27.353,28.490,28.953,31.037,32.111,32.643,33.346,34.834,36.570,37.206,38.949,40.107,40.916,42.046
Bist0_260mv_75C,0.000,1.000,1.000,1.000,0.999,0.999,0.998,0.995,0.990,0.981,0.959,0.926,0.866,0.752,0.537,0.221,0.045,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Eff0_260mv_75C,99.990,38.684,33.874,29.845,27.510,26.340,24.840,23.267,22.280,21.328,21.429,21.523,22.467,24.741,35.100,83.375,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990,99.990
Current0_270mv_75C,17.591,17.812,19.364,20.382,21.444,22.169,23.046,24.118,25.381,26.303,27.933,28.483,29.583,30.590,31.147,33.406,33.530,35.053,36.688,37.300,38.935,40.209,40.817,42.023,43.307
Bist0_270mv_75C,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,0.996,0.993,0.985,0.972,0.945,0.889,0.746,0.481,0.185,0.027,0.001,0.000,0.000,0.000
Eff0_270mv_75C,49.891,40.414,36.613,33.033,30.410,27.944,26.146,24.877,24.000,22.973,22.666,21.620,21.128,20.728,20.191,21.109,21.390,25.373,39.296,99.392,99.990,99.990,99.990,99.990,99.990
Current0_280mv_75C,26.269,19.010,19.492,21.085,21.615,23.274,24.403,24.806,26.100,27.232,28.356,29.281,30.637,32.293,32.923,34.040,35.323,36.337,37.458,38.778,40.343,41.551,42.720,43.514,44.522
Bist0_280mv_75C,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.998,0.995,0.990,0.976,0.943,0.857,0.621,0.324,0.096,0.008
Eff0_280mv_75C,77.261,44.729,38.219,35.437,31.786,30.424,28.710,26.532,25.590,24.647,23.830,22.970,22.530,22.355,21.535,21.127,20.879,20.571,20.523,21.045,23.087,31.481,59.666,99.990,99.990
Current0_290mv_75C,19.058,19.446,20.573,21.678,22.319,23.388,24.517,25.798,27.509,28.684,29.268,30.739,32.212,32.241,34.598,35.811,36.396,37.771,38.771,39.918,40.766,42.302,43.463,44.069,45.865
Bist0_290mv_75C,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.998,0.994,0.987,0.961,0.865,0.648
Eff0_290mv_75C,58.054,47.388,41.780,37.736,33.995,31.664,29.873,28.577,27.933,26.885,25.473,24.970,24.532,23.109,23.422,22.969,22.178,21.925,21.490,21.194,20.813,20.892,21.204,23.000,30.780
Current0_300mv_75C,19.565,19.901,21.313,21.503,23.040,24.242,25.146,26.687,28.521,29.764,31.019,32.245,33.497,34.754,35.973,36.766,37.859,39.066,40.955,41.475,43.438,44.722,45.728,47.239,48.475
Bist0_300mv_75C,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,0.998
Eff0_300mv_75C,61.655,50.170,44.776,38.720,36.303,33.952,31.696,30.581,29.959,28.860,27.928,27.097,26.389,25.769,25.191,24.392,23.861,23.449,23.466,22.730,22.816,22.553,22.182,22.081,21.875
Current0_310mv_75C,22.254,20.915,21.992,22.295,24.421,24.916,26.917,28.201,29.460,30.758,31.702,32.701,33.958,35.927,36.566,37.818,39.134,41.066,42.414,43.157,45.039,45.682,47.009,48.252,49.518
Bist0_310mv_75C,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Eff0_310mv_75C,72.466,54.485,47.743,41.485,39.761,36.060,35.060,33.393,31.977,30.818,29.495,28.396,27.645,27.527,26.460,25.926,25.486,25.471,25.111,24.440,24.443,23.801,23.550,23.279,23.038
Current0_320mv_75C,20.966,21.430,21.973,23.815,24.339,26.381,27.695,28.945,29.668,30.972,32.978,34.351,34.952,35.614,37.654,38.915,39.689,42.361,42.984,44.487,45.728,47.049,47.997,49.756,51.747
Bist0_320mv_75C,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
