Data taken at Thu Jul 18 16:17:33 2024
Throughput(Mhz),100.000,150.000,200.000,250.000,300.000,350.000,400.000,450.000,500.000,550.000,600.000,650.000,700.000,750.000,800.000
Phase0_0_35C,18.736,16.874,16.129,16.187,16.234,16.403,16.506,17.004,17.284,17.717,18.222,18.598,19.159,19.909,20.381
Phase1_-16_35C,18.188,16.404,15.623,15.500,15.482,15.711,16.133,16.516,17.025,17.476,18.125,18.530,19.145,19.819,20.363
Phase2_-32_35C,18.086,16.170,15.357,15.088,15.236,15.542,16.014,16.442,16.998,17.486,18.112,18.491,19.001,19.855,20.330
Phase3_-48_35C,18.025,16.124,15.162,14.862,15.207,15.498,15.972,16.471,16.992,17.434,18.076,18.586,19.285,20.109,20.961
Phase4_0_35C,18.781,17.033,16.245,16.166,16.173,16.456,16.587,16.771,17.129,17.391,17.671,18.082,18.408,18.595,18.933
Phase5_0_35C,18.303,16.248,15.460,15.293,15.354,15.686,16.158,16.431,16.897,17.297,17.811,18.111,18.416,18.801,19.094
Phase6_0_35C,14.313,7.031,5.402,9.934,9.116,9.644,5.598,7.001,9.959,9.322,10.306,2.572,9.881,8.839,9.135
Phase7_0_35C,18.572,16.301,15.440,15.294,15.486,15.586,16.051,16.415,16.932,17.277,17.791,18.113,18.422,18.842,19.156
